ts,room,seq,bytes,rtt_ms,srtt_ms,rto_ms,cwnd,ssthresh,event,algo
1763754895.8912854,3815,147,4096,0.07653236389160156,0.07674762167041112,0.09256294031312864,18.57001110550191,8.0,ACK,reno
1763754895.8913732,3815,148,4096,0.06747245788574219,0.0755882261973275,0.09672487896403457,18.62386136947422,8.0,ACK,reno
1763754895.8914692,3815,149,4096,0.07653236389160156,0.07570624340911175,0.09250287067841613,18.677555927233282,8.0,ACK,reno
1763754895.89156,3815,150,4096,0.07081031799316406,0.07509425273211828,0.09258764860004426,18.731096122957815,8.0,ACK,reno
1763754895.89167,3815,151,4096,0.08535385131835938,0.07637670255539841,0.09975634804258399,18.78448328158621,8.0,ACK,reno
1763754895.8917687,3815,152,4096,0.0743865966796875,0.07612793932093455,0.09565277931203464,18.837718709200033,8.0,ACK,reno
1763754895.8918824,3815,153,4096,0.08845329284667969,0.07766860851165269,0.1046375920307229,18.890803693397807,8.0,ACK,reno
1763754895.8919845,3815,154,4096,0.07772445678710938,0.07767558954608478,0.09795817546084412,18.943739503659256,8.0,ACK,reno
1763754895.892094,3815,155,4096,0.08511543273925781,0.07860556994523141,0.10125735257447394,18.99652739170041,8.0,ACK,reno
1763754895.8921967,3815,156,4096,0.07843971252441406,0.07858483776762924,0.09573953216037849,19.049168591819804,8.0,ACK,reno
1763754895.8923054,3815,157,4096,0.08487701416015625,0.07937135981669512,0.09852955700378406,19.10166432123602,8.0,ACK,reno
1763754895.8925557,3815,158,4096,0.2262592315673828,0.09773234378553108,0.2589888634265355,19.154015780416895,8.0,ACK,reno
1763754895.8926651,3815,159,4096,0.08463859558105469,0.09609562525997153,0.23013176319520123,19.206224153400612,8.0,ACK,reno
1763754895.8927667,3815,160,4096,0.07772445678710938,0.09379922920086377,0.21269750112514818,19.258290608108886,8.0,ACK,reno
1763754895.892873,3815,161,4096,0.08249282836914062,0.09238592909689837,0.19286603387183482,19.31021629665255,8.0,ACK,reno
1763754895.8929641,3815,162,4096,0.07081031799316406,0.08968897770893158,0.18662466739386824,19.3620023556297,8.0,ACK,reno
1763754895.8930864,3815,163,4096,0.10037422180175781,0.09102463322053486,0.1744116445770636,19.413649906416676,8.0,ACK,reno
1763754895.8931897,3815,164,4096,0.07867813110351562,0.08948132045590745,0.16436808109032325,19.465160055452046,8.0,ACK,reno
1763754895.893311,3815,165,4096,0.09655952453613281,0.09036609596593562,0.15360937052197282,19.516533894513795,8.0,ACK,reno
1763754895.8934226,3815,166,3334,0.08559226989746094,0.08976936770737629,0.14197564969287885,19.567772500989975,8.0,ACK,reno
1763754998.293206,3815,1,4096,0.22864341735839844,0.22864341735839844,0.6859302520751953,2.0,8.0,ACK,reno
1763754998.2934685,3815,2,4096,0.19407272338867188,0.22432208061218262,0.6018579006195068,3.0,8.0,ACK,reno
1763754998.293738,3815,3,4096,0.20647048950195312,0.22209063172340393,0.5230940878391266,4.0,8.0,ACK,reno
1763754998.2938762,3815,4,4096,0.11849403381347656,0.209141056984663,0.5384902469813824,5.0,8.0,ACK,reno
1763754998.294029,3815,5,4096,0.13303756713867188,0.19962812075391412,0.5227435030974448,6.0,8.0,ACK,reno
1763754998.2941513,3815,6,4096,0.10251998901367188,0.18748960428638384,0.5269342727842741,7.0,8.0,ACK,reno
1763754998.2942677,3815,7,4096,0.09632110595703125,0.17609354199521476,0.521845541697985,8.0,8.0,ACK,reno
1763754998.2943616,3815,8,4096,0.07414817810058594,0.16335037150838616,0.5246097351800927,8.125,8.0,ACK,reno
1763754998.2944849,3815,9,4096,0.10371208190917969,0.15589558530848535,0.4864783976614717,8.248076923076923,8.0,ACK,reno
1763754998.294579,3815,10,4096,0.07390975952148438,0.14564735708511023,0.475570292136851,8.369317305450437,8.0,ACK,reno
1763754998.2947018,3815,11,4096,0.10275840759277344,0.14028623839856813,0.4306173891797105,8.488801364126138,8.0,ACK,reno
1763754998.2947955,3815,12,4096,0.07414817810058594,0.13201898086132036,0.4159054042451593,8.606603625847802,8.0,ACK,reno
1763754998.294921,3815,13,4096,0.10538101196289062,0.12868923474901664,0.36824202118532556,8.722793477672365,8.0,ACK,reno
1763754998.2950144,3815,14,4096,0.07390975952148438,0.12184180034557511,0.3562858654003391,8.837435650797257,8.0,ACK,reno
1763754998.2951188,3815,15,4096,0.08440017700195312,0.11716159742762236,0.3304362695623173,8.950590647281988,8.0,ACK,reno
1763754998.295213,3815,16,4096,0.0743865966796875,0.1118147223341305,0.3145457271830866,9.062315117700448,8.0,ACK,reno
1763754998.2953172,3815,17,4096,0.08463859558105469,0.10841770648999603,0.2876420868797889,9.172662196455942,8.0,ACK,reno
1763754998.2954106,3815,18,4096,0.07390975952148438,0.10410421311893207,0.27303044537978843,9.281681800425046,8.0,ACK,reno
1763754998.295516,3815,19,4096,0.08511543273925781,0.1017306155714728,0.2474140701467893,9.389420895720708,8.0,ACK,reno
1763754998.2956092,3815,20,4096,0.07367134094238281,0.09822320624283655,0.23554507180341389,9.495923736642,8.0,ACK,reno
1763754998.2957132,3815,21,4096,0.08463859558105469,0.09652512991011382,0.2131011397423287,9.601232080278049,8.0,ACK,reno
1763754998.295807,3815,22,4096,0.0743865966796875,0.09375781325631052,0.20332835386089798,9.705385379733658,8.0,ACK,reno
1763754998.2959113,3815,23,4096,0.08440017700195312,0.09258810872451585,0.18412365043231385,9.80842095852563,8.0,ACK,reno
1763754998.2960055,3815,24,4096,0.07367134094238281,0.09022351275174922,0.17779193681473077,9.91037416834691,8.0,ACK,reno
1763754998.2961102,3815,25,4096,0.08487701416015625,0.0895552004278001,0.16057801706662922,10.01127853209878,8.0,ACK,reno
1763754998.2962043,3815,26,4096,0.07390975952148438,0.08759952031451064,0.1565120736999482,10.111165873839772,8.0,ACK,reno
1763754998.2963083,3815,27,4096,0.08416175842285156,0.08716980007805325,0.1422919770087905,10.21006643708612,8.0,ACK,reno
1763754998.2964022,3815,28,4096,0.07343292236328125,0.08545269036370676,0.1405312007765317,10.30800899271609,8.0,ACK,reno
1763754998.2965062,3815,29,4096,0.08416175842285156,0.08529132387109986,0.12789113862157375,10.405020937574367,8.0,ACK,reno
1763754998.2965999,3815,30,4096,0.07367134094238281,0.08383882600501023,0.1274086699965827,10.501128384738536,8.0,ACK,reno
